Aantal_punten,Gemiddelde_tijd_exact,Gemiddelde_tijd_nn
14000,29.295925641059874,20.068189549446107
12000,21.621059393882753,14.59581983089447
9200,12.7686603307724,8.39541163444519
8000,9.708687567710877,6.459777879714966
7000,7.251750373840332,4.927478265762329
6200,5.753172373771667,3.9656101942062376
5500,4.6209214448928835,3.0541093826293944
4700,3.4489466190338134,2.232339787483215
4501,3.191113591194153,2.039875292778015
4408,3.061475896835327,1.9620756387710572
4316,2.91438307762146,1.875791311264038
4225,2.824555230140686,1.8013659238815307
4135,2.7237499952316284,1.7243346452713013
3958,2.5848134040832518,1.5774316787719727
3785,2.3659581899642945,1.4468746662139893
3700,2.276961421966553,1.3743884801864623
3616,2.196601319313049,1.3196609258651733
3451,1.9560868263244628,1.1975157022476197
3370,1.8603132247924805,1.147925114631653
3290,1.7802825450897217,1.0900062799453736
3133,1.670799684524536,1.0082505941390991
3056,1.5629248142242431,0.9440739154815674
2905,1.4166708946228028,0.8644214630126953
2831,1.360103392601013,0.8121038436889648
2758,1.2879241704940796,0.7668308734893798
2686,1.2296775817871093,0.7281634330749511
2615,1.1694194078445435,0.6906673669815063
2545,1.111609196662903,0.6581751585006714
2476,1.0454020023345947,0.6223567008972168
2408,1.002386736869812,0.5888322114944458
2275,0.8960696935653687,0.5236869096755982
2146,0.8113939762115479,0.4663405418395996
2083,0.7661152839660644,0.4389034271240234
2021,0.7344649314880372,0.41379222869873045
1900,0.652794599533081,0.36559247970581055
1841,0.6195875644683838,0.344575309753418
1783,0.5925586223602295,0.32161455154418944
1726,0.5492847919464111,0.3010552883148193
1670,0.5190465211868286,0.28355467319488525
1615,0.4953057289123535,0.2650664567947388
1561,0.47947690486907957,0.2480696678161621
1508,0.4398961544036865,0.23036408424377441
1456,0.41282200813293457,0.21650583744049073
1355,0.35987629890441897,0.18761565685272216
1306,0.3408942222595215,0.17247912883758545
1258,0.3194589138031006,0.16402387619018555
1211,0.3020669937133789,0.14997496604919433
1120,0.26426589488983154,0.12365365028381348
1076,0.24318931102752686,0.1148413896560669
1033,0.2328803062438965,0.10432822704315185
950,0.2016655683517456,0.08984181880950928
871,0.17489519119262695,0.08057861328125
833,0.16328167915344238,0.07049825191497802
796,0.15061089992523194,0.06391096115112305
725,0.1301445722579956,0.05171670913696289
691,0.12053542137145996,0.04695260524749756
658,0.11500380039215088,0.044217848777771
626,0.10272479057312012,0.03928484916687012
565,0.08840718269348144,0.032178950309753415
536,0.0808868169784546,0.0301605224609375
481,0.06934282779693604,0.023714566230773927
430,0.05843222141265869,0.019706082344055176
406,0.05434439182281494,0.017194342613220216
383,0.049420714378356934,0.01616640090942383
361,0.045640873908996585,0.012952041625976563
340,0.04274952411651611,0.012171697616577149
301,0.03552110195159912,0.010709571838378906
283,0.032676291465759275,0.007935667037963867
250,0.02753162384033203,0.006988310813903808
235,0.025903201103210448,0.006975340843200684
220,0.023473668098449706,0.006763863563537598
206,0.021886205673217772,0.005999469757080078
181,0.01876251697540283,0.005181550979614258
169,0.016890692710876464,0.002998948097229004
148,0.014135909080505372,0.00274965763092041
138,0.01328263282775879,0.002826833724975586
120,0.011367106437683105,0.0017374277114868164
104,0.009425139427185059,0.002159786224365234
97,0.010250306129455567,0.0020157337188720704
84,0.0077615022659301754,0.001726055145263672
72,0.006189775466918945,0.0015296220779418945
67,0.005614089965820313,0.0013319969177246094
57,0.0050334930419921875,0.0011249303817749024
53,0.004425597190856933,0.001114225387573242
49,0.00403749942779541,0.0010825157165527343
45,0.00367429256439209,0.0009517192840576172
42,0.003430008888244629,0.0009331703186035156
39,0.0033432722091674806,0.0008872509002685547
36,0.0028566837310791014,0.0008540153503417969
30,0.002370619773864746,0.0007451534271240235
28,0.0022444963455200196,0.0009631156921386719
24,0.0019045352935791015,0.0006935834884643554
22,0.0017343997955322266,0.0007451057434082031
18,0.0014908790588378906,0.0006535053253173828
16,0.0012681961059570312,0.0006556034088134766
14,0.001107001304626465,0.000635528564453125
13,0.0009971141815185546,0.000672006607055664
11,0.000853276252746582,0.000655674934387207
10,0.0007882118225097656,0.0006395578384399414
9,0.0007039070129394531,0.0006786346435546875
8,0.0006156206130981445,0.0006947755813598633
7,0.0005460977554321289,0.0006499290466308594
6,0.00046870708465576174,0.0006669759750366211
4,0.00031979084014892577,0.0006519079208374024
3,0.0002385854721069336,0.0006730794906616211
2,0.00017006397247314452,0.0009928226470947265
